RathausSpandau		AltstadtSpandau
AltstadtSpandau		Zitadelle
Zitadelle				Haselhorst	
Haselhorst			Paulsternstrasse	
Paulsternstrasse		Rohrdamm
Rohrdamm			Siemensdamm
Siemensdamm			Halemweg
Halemweg			Jakob-Kaiser-Platz
Jakob-Kaiser-Platz		Jungfernheide
Jungfernheide			Mierendorffplatz
Mierendorffplatz		Richard-Wagner-Platz
Richard-Wagner-Platz	Bismarckstrasse 
Bismarckstrasse 		WilmersdorferStrasse
WilmersdorferStrasse	Adenauerplatz
Adenauerplatz			KonstanzerStrasse
KonstanzerStrasse		FehrbellinerPlatz 
FehrbellinerPlatz 		Blissestrasse
Blissestrasse			BerlinerStrasse 
BerlinerStrasse 		BayerischerPlatz 
BayerischerPlatz 		EisenacherStrasse
EisenacherStrasse		Kleistpark
Kleistpark			Yorckstrasse   
Yorckstrasse   		Moeckernbruecke 
Moeckernbruecke 		Mehringdamm 
Mehringdamm 		Gneisenaustrasse
Gneisenaustrasse		Suedstern
Suedstern			Hermannplatz 
Hermannplatz 			RathausNeukoelln
RathausNeukoelln		Karl-Marx-Strasse
Karl-Marx-Strasse		Neukoelln
Neukoelln			Grenzallee
Grenzallee			Blaschkoallee
Blaschkoallee			ParchimerAllee
ParchimerAllee		Britz-Sued
Britz-Sued			JohannisthalerChaussee
JohannisthalerChaussee	Lipschitzallee
Lipschitzallee			Wutzkyallee
Wutzkyallee			ZwickauerDamm
ZwickauerDamm		Rudow
