Howard		Jarvis
Jarvis		Morse
Morse		Loyola
Loyola		Granville
Granville	Thorndale
Thorndale	BrynMawr
BrynMawr	Berwyn
Berwyn		Argyle
Argyle		Lawrence
Lawrence	Wilson
Wilson		Buena
Buena		Sheridan
Sheridan	Grace
Grace		Addison
Addison		Clark
Clark		Belmont
Belmont		Fullerton
Fullerton	NorthClyboum
NorthClyboum	ClarkDivision
ClarkDivision	Chicago
Chicago		Grand
Grand		Lake
Lake		Washington
Washington	Monroe
Monroe		Jackson
Jackson		Harrison
Harrison	Roosevelt
Roosevel	CermakChinatown
CermakChinatown	Sox35
Sox35		47th
47th		Garfield
Garfield	63rd
63rd		69th
69th		79th
79th		87th
87th		95thDanRyan
