OHare		Rosemont
Rosemont	Cumberland  
Cumberland  	Harlem
Harlem  	JeffersonPark
JeffersonPark  	Montrose
Montrose 	IrvingPark
IrvingPark 	Addison
Addison		Belmont
Belmont		LoganSquare
LoganSquare 	California
California	Western
Western 	Damen
Damen		Division
Division	Chicago
Chicago		Grand
Grand		ClarkLake
ClarkLake 	Washington
Washington	Monroe
Monroe		Jackson
Jackson 	LaSalle
LaSalle 	Clinton
Clinton 	UIC-Halsted
UIC-Halsted 	Racine
Racine		IllinoisMedicalDistrict 
IllinoisMedicalDistrict			Western
Western		California
California	Kedzie-Homan	
Kedzie-Homan 	Pulaski
Pulaski		Kostner
Kostner		Cicero
Cicero		Central
Central		Austin
Austin		OakPark
Oak Park	Harlem
Harlem		ForestPark
