ForestPark	Harlem	
Harlem  	Marion
Marion		OakPark
OakPark		Ridgeland
Ridgeland	Lombard
Lombard		Austin
Austin		Menard
Menard		Central
Central 	Laramie
Laramie 	Cicero
Cicero 		Kostner
Kostner		Pulaski
Pulaski 	Hamlin
Hamlin		Conservatory
Conservatory 	Homan
Homan		Kedzie
Kedzie 		Sacramento
Sacramento	California
California 	Campbell
Campbell	Oakley
Oakley		Damen
Damen		Wood
Wood		LakeStreetTransfer
LakeStreetTransfer	Ashland
Ashland 	Loomis
Loomis		Racine
Racine		Morgan
Morgan		Halsted
Halsted		Clinton
Clinton 	Canal
Canal		FifthLake
FifthLake	ClarkLake
ClarkLake 	StateLake
StateLake	RandolphWabash
RandolphWabash	MadisonWabash
MadisonWabash	AdamsWabash
AdamsWabash	CongressWabash
CongressWabash	RooseveltWabash
RooseveltWabash	18th
18th		Cermak
Cermak		26th
26th		29th
29th		31st
31st		33rd
33rd		35-Bronzeville-IIT
35-Bronzeville-IIT	Pershing
Pershing	Indiana
Indiana 	43rd
43rd 		47th
47th 		51st
51st 		Garfield
Garfield 	58th
58th		State
State		Wentworth
Wentworth	Princeton
Princeton	Harvard
Harvard		Parnell
Parnell		Halsted
Halsted 	Racine
Racine		Loomis
Loomis		Ashland63rd
Ashland63rd 	61st
61st		KingDrive
KingDrive 	CottageGrove
CottageGrove 	University
University	Dorchester
Dorchester	JacksonPark
