OakPark		Ridgeland
Ridgeland	Lombard
Lombard		Austin
Austin		58thAvenue
58thAvenue	Central
Central		54thCermak
54thCermak 	Laramie
Laramie		50thAvenue
50thAvenue	Cicero
Cicero 		Kenton
Kenton		Kostner
Kostner 	Pulaski
Pulaski 	Lawndale
Lawndale	CentralPark
CentralPark 	Drake
Drake		Homan
Homan		Kedzie
Kedzie 		DouglasPark
DouglasPark	California
California 	Western
Western 	Damen
Damen 		Wood
Wood		18th
18th 		14thPlace
14thPlace	Roosevelt
Roosevelt	Polk
Polk 		Madison
Madison		Ashland
Ashland		Morgan
Morgan		Clinton
Clinton		ClarkLake
