HighBarnet	TotteridgeandWhetstone
TotteridgeandWhetstone	WoodsidePark
WoodsidePark	WestFinchley
WestFinchley	FinchleyCentral
MillHillEast	FinchleyCentral
FinchleyCentral	EastFinchley
EastFinchley	Highgate
Highgate	Archway
Archway	TufnellPark
TufnellPark	KentishTown
KentishTown	CamdenTown
Edgware	BurntOak
BurntOak	Colindale
Colindale	HendonCentral
HendonCentral	BrentCross
BrentCross	GoldersGreen
GoldersGreen	Hampstead
Hampstead	BelsizePark
BelsizePark	ChalkFarm
ChalkFarm	CamdenTown
CamdenTown	MorningtonCrescent
CamdenTown	Euston
MorningtonCrescent	Euston
Euston	King'sCrossSt.Pancras
King'sCrossSt.Pancras	Angel
Angel	OldStreet
OldStreet	Moorgate
Moorgate	Bank
Bank	LondonBridge
LondonBridge	Borough
Borough	ElephantandCastle
ElephantandCastle	Kennington
Euston	WarrenStreet
WarrenStreet	GoodgeStreet
GoodgeStreet	TottenhamCourtRoad
TottenhamCourtRoad	LeicesterSquare
LeicesterSquare	CharingCross
CharingCross	Embankment
Embankment	Waterloo
Waterloo	Kennington
Kennington	Oval
Oval	Stockwell
Stockwell	ClaphamNorth
ClaphamNorth	ClaphamCommon
ClaphamCommon	ClaphamSouth
ClaphamSouth	Balham
Balham	TootingBec
TootingBec	TootingBroadway
TootingBroadway	ColliersWood
ColliersWood	SouthWimbledon
SouthWimbledon	Morden
