PinardeChamartin	Bambú
Bambú	Chamartin
Chamartin	PlazadeCastilla
PlazadeCastilla	Valdeacederas
Valdeacederas	Tetuán
Tetuán	Estrecho
Estrecho	Alvarado
Alvarado	CuatroCaminos
CuatroCaminos	RíosRosas
RíosRosas	Iglesia
Iglesia	Bilbao
Bilbao	Tribunal
Tribunal	GranVía
GranVía	Sol
Sol	TirsodeMolina
TirsodeMolina	AntónMartin
AntónMartin	Atocha
Atocha	AtochaRenfe
AtochaRenfe	MenéndezPelayo
MenéndezPelayo	Pacífico
Pacífico	PuentedeVallecas
PuentedeVallecas	NuevaNumancia
NuevaNumancia	Portazgo
Portazgo	BuenosAires
BuenosAires	AltodelArenal
AltodelArenal	MiquelHernández
MiquelHernández	SierradeGuadalupe
SierradeGuadalupe	VilladeVallecas
VilladeVallecas	Congosto
Congosto	LaGavia
LaGavia	LasSuertes
LasSuertes	Valdecarros
