HospitalInfantaSofia	ReyesCatólicos
ReyesCatólicos	Baunatal
Baunatal	ManueldeFalla
ManueldeFalla	MarquésdelaValdavia
MarquésdelaValdavia	LaMoraleja
LaMoraleja	LaGranja
LaGranja	RondadelaComunicación
RondadelaComunicación	LasTablas
LasTablas	Montecarmelo
Montecarmelo	TresOlivos
TresOlivos	Fuencarral
Fuencarral	Begoña
Begoña	Chamartin
Chamartin	PlazadeCastilla
PlazadeCastilla	Cuzco
Cuzco	SantiagoBernabéu
SantiagoBernabéu	NuevosMinisterios
NuevosMinisterios	GregorioMarañon
GregorioMarañon	AlonsoMartinez
AlonsoMartinez	Tribunal
Tribunal	PlazadeEspaña
PlazadeEspaña	PríncipePío
PríncipePío	Lago
Lago	Batán
Batán	CasadeCampo
CasadeCampo	ColoniaJardín
ColoniaJardín	AviaciónEspañola
AviaciónEspañola	CuatroVientos
CuatroVientos	JoaquínVilumbrales
JoaquínVilumbrales	PuertadelSur
