PuertadelSur	SanNicasio
SanNicasio	LeganésCentral
LeganésCentral	HospitalSeveroOchoa
HospitalSeveroOchoa	CasadelReloj
CasadelReloj	JuliánBesteiro
JuliánBesteiro	ElCarrascal
ElCarrascal	ElBercial
ElBercial	LosEspartales
LosEspartales	ElCasar
ElCasar	JuandelaCierva
JuandelaCierva	GetafeCentral
GetafeCentral	AlonsodeMendoza
AlonsodeMendoza	Conservatorio
Conservatorio	ArroyoCulebro
ArroyoCulebro	ParquedelosEstados
ParquedelosEstados	FuenlabradaCentral
FuenlabradaCentral	ParqueEuropa
ParqueEuropa	HospitaldeFuenlabrada
HospitaldeFuenlabrada	Loranca
Loranca	ManuelaMalasaña
ManuelaMalasaña	HospitaldeMóstoles
HospitaldeMóstoles	Pradillo
Pradillo	MóstolesCentral
MóstolesCentral	UniversidadReyJuanCarlos
UniversidadReyJuanCarlos	ParqueOeste
ParqueOeste	AlcorcónCentral
AlcorcónCentral	ParqueLisboa
ParqueLisboa	PuertadelSur
