AlamedadeOsuna	ElCapricho
ElCapricho	Canillejas
Canillejas	TorreArias
TorreArias	Suanzes
Suanzes	CiudadLineal
CiudadLineal	PuebloNuevo
PuebloNuevo	Quintana
Quintana	ElCarmen
ElCarmen	Ventas
Ventas	DiegodeLeón
DiegodeLeón	NúñezdeBalboa
NúñezdeBalboa	RubénDarío
RubénDarío	AlonsoMartínez
AlonsoMartínez	Chueca
Chueca	GranVía
GranVía	Callao
Callao	Opera
Opera	LaLatina
LaLatina	PuertadeToledo
PuertadeToledo	Acacias/Embajadores
Acacias/Embajadores	Pirámides
Pirámides	MarquésdeVadillo
MarquésdeVadillo	Urgel
Urgel	Oporto
Oporto	VistaAlegre
VistaAlegre	Carabanchel
Carabanchel	EugeniadeMontijo
EugeniadeMontijo	Aluche
Aluche	Empalme
Empalme	Campamento
Campamento	CasadeCampo
