Moncloa	Argüelles
Argüelles	PríncipePío
PríncipePío	PuertadelÁngel
PuertadelÁngel	AltodeExtremadura
AltodeExtremadura	Lucero
Lucero	Laguna
Laguna	Carpetana
Carpetana	Oporto
Oporto	Opañel
Opañel	PlazaElíptica
PlazaElíptica	Usera
Usera	Legazpi
Legazpi	Arganzuela-Planetario
Arganzuela-Planetario	MéndezÁlvaro
MéndezÁlvaro	Pacífico
Pacífico	CondedeCasal
CondedeCasal	SáinzdeBaranda
SáinzdeBaranda	O'Donnell
O'Donnell	ManuelBecerra
ManuelBecerra	DiegodeLeón
DiegodeLeón	AvenidadeAmérica
AvenidadeAmérica	RepúblicaArgentina
RepúblicaArgentina	NuevosMinisterios
NuevosMinisterios	CuatroCaminos
CuatroCaminos	GusmánelBueno
GusmánelBueno	Metropolitano
Metropolitano	CiudadUniversitaria
CiudadUniversitaria	Moncloa
