Pitis	Lacoma
Lacoma	AvenidadelaIlustración
AvenidadelaIlustración	Peñagrande
Peñagrande	AntonioMachado
AntonioMachado	Valdezarza
Valdezarza	FrancosRodrígues
FrancosRodrígues	GusmánelBueno
GusmánelBueno	IslasFilipinas
IslasFilipinas	Canal
Canal	AlonsoCano
AlonsoCano	GregorioMarañon
GregorioMarañon	AvenidadeAmérica
AvenidadeAmérica	Cartagena
Cartagena	ParquedelasAvenidas
ParquedelasAvenidas	BarriodelaConcepción
BarriodelaConcepción	PuebleNuevo
PuebleNuevo	Ascao
Ascao	GarcíaNoblejas
GarcíaNoblejas	Simancas
Simancas	SanBlas
SanBlas	LasMusas
LasMusas	StadioOlimpico
StadioOlimpico	BarriodelPuerto
BarriodelPuerto	CosladaCentral
CosladaCentral	LaRambla
LaRambla	SanFernando
SanFernando	Jarama
Jarama	Henares
Henares	HospitaldelHenares
