Pankow					Vinetastrasse
Vinetastrasse				SchoenhauserAllee
SchoenhauserAllee			EberswalderStrasse
EberswalderStrasse			Senefelderplatz
Senefelderplatz			Rosa-Luxemburg-Platz
Rosa-Luxemburg-Platz		Alexanderplatz	 
Alexanderplatz	 		Klosterstrasse
Klosterstrasse				MaerkischesMuseum
MaerkischesMuseum		Spittelmarkt
Spittelmarkt				Hausvogteiplatz	 
Hausvogteiplatz			Stadtmitte		
Stadtmitte				Mohrenstrasse	
Mohrenstrasse	 			PotsdamerPlatz
PotsdamerPlatz	  		Mendelssohn-Bartholdy-Park
Mendelssohn-Bartholdy-Park	Gleisdreieck	
Gleisdreieck				Buelowstrasse
Buelowstrasse	 			Nollendorfplatz
Nollendorfplatz	 		Wittenbergplatz 
Wittenbergplatz	 		ZoologischerGarten
ZoologischerGarten			Ernst-Reuter-Platz
Ernst-Reuter-Platz	 		DeutscheOper
DeutscheOper	 			Bismarckstrasse
Bismarckstrasse			Sophie-Charlotte-Platz
Sophie-Charlotte-Platz	 	Kaiserdamm	  
Kaiserdamm	  			Theodor-Heuss-Platz
Theodor-Heuss-Platz	 	Neu-Westend
Neu-Westend				Olympia-Stadion
Olympia-Stadion	 		Ruhleben
