Alexanderplatz		Schillingstrasse
Schillingstrasse		StrausbergerPlatz
StrausbergerPlatz	 	Weberwiese
Weberwiese	 		FrankfurterTor
FrankfurterTor	 		Samariterstrasse
Samariterstrasse	 	FrankfurterAllee
FrankfurterAllee	 	Magdalenenstrasse 
Magdalenenstrasse		Lichtenberg	 
Lichtenberg	   		Friedrichsfelde
Friedrichsfelde		Tierpark	 
Tierpark				 Biesdorf-Sued
Biesdorf-Sued			ElsterwerdaerPlatz
ElsterwerdaerPlatz		Wuhletal
Wuhletal				Kaulsdorf-Nord
Kaulsdorf-Nord		NeueGrottkauerStrasse
NeueGrottkauerStrasse	CottbusserPlatz
CottbusserPlatz		Hellersdorf	 
Hellersdorf	 		Louis-Lewin-Strasse
Louis-Lewin-Strasse	Hoenow
