Alt-Tegel					Borsigwerke
Borsigwerke	 			HolzhauserStrasse	 
HolzhauserStrasse			Otisstrasse	 	 
Otisstrasse	 			Scharnweberstrasse	 
Scharnweberstrasse	 		Kurt-Schumacher-Platz	 
Kurt-Schumacher-Platz	 	AfrikanischeStrasse	 
AfrikanischeStrasse	 		Rehberge	 
Rehberge	 				Seestrasse
Seestrasse				Leopoldplatz	 
Leopoldplatz				Wedding		
Wedding					ReinickendorferStrasse	 
ReinickendorferStrasse	 	Schwartzkopffstrasse	 
Schwartzkopffstrasse	 	Naturkundemuseum	 
Naturkundemuseum		OranienburgerTor	 	 
OranienburgerTor	 		Friedrichstrasse
Friedrichstrasse	   		FranzoesischeStrasse
FranzoesischeStrasse		Stadtmitte	 
Stadtmitte				Kochstrasse	 
Kochstrasse				HalleschesTor	 
HalleschesTor				Mehringdamm	
Mehringdamm				PlatzderLuftbruecke
PlatzderLuftbruecke		Paradestrasse	 
Paradestrasse				Tempelhof 
Tempelhof				Alt-Tempelhof
Alt-Tempelhof	 		Kaiserin-Augusta-Strasse
Kaiserin-Augusta-Strasse	Ullsteinstrasse	 
Ullsteinstrasse			Westphalweg	 
Westphalweg	 			Alt-Mariendorf
