Wittenau					RathausReinickendorf
RathausReinickendorf		Karl-Bonhoeffer-Nervenklinik
Karl-Bonhoeffer-Nervenklinik	LindauerAllee
LindauerAllee				Paracelsus-Bad
Paracelsus-Bad			Residenzstrasse
Residenzstrasse			Franz-Neumann-Platz
Franz-Neumann-Platz		OsloerStrasse
OsloerStrasse				Pankstrasse
Pankstrasse				Gesundbrunnen
Gesundbrunnen			Voltastrasse
Voltastrasse				BernauerStrasse
BernauerStrasse			RosenthalerPlatz
RosenthalerPlatz			Weinmeisterstrasse
Weinmeisterstrasse			Alexanderplatz
Alexanderplatz			Jannowitzbruecke
Jannowitzbruecke			Heinrich-Heine-Strasse
Heinrich-Heine-Strasse		Moritzplatz
Moritzplatz				KottbusserTor
KottbusserTor				Schoenleinstrasse
Schoenleinstrasse			Hermannplatz
Hermannplatz				Boddinstrasse
Boddinstrasse				Leinestrasse
Leinestrasse				Hermannstrasse
