Kimball		Kedzie
Kedzie 		Francisco
Francisco 	Rockwell
Rockwell 	Western
Western 	Damen
Damen  		Ravenswood
Ravenswood	Montrose
Montrose 	IrvingPark
IrvingPark 	Addison
Addison 	Paulina
Paulina 	Southport
Southport 	Belmont
Belmont 	Wellington
Wellington 	Diversey
Diversey 	Wrightwood
Wrightwood	Fullerton
Fullerton 	Webster
Webster		Armitage
Armitage	Willow 
Willow		Halsted
Halsted		Larrabee
Larrabee	Sedgwick
Sedgwick 	Schiller
Schiller	Division
Division	Oak
Oak		Chicago
Chicago 	Grand
Grand		Kinzie
Kinzie		MerchandiseMart
MerchandiseMart	RandolpheWells
RandolpheWells	WashingtonWells
WashingtonWells	MadisonWells
MadisonWells	Quincy
Quincy		LaSalleVanBuren
LaSalleVanBuren	DearbornVanBuren
DearbornVanBuren	HaroldWashingtonLibraryStateVanBuren
HaroldWashingtonLibraryStateVanBuren	StateVanBuren
StateVanBuren				AdamsWabash
AdamsWabash				MadisonWabash
MadisonWabash				RandolphWabash
RandolphWabash				StateLake
StateLake				ClarkLake
ClarkLake				FifthLake
FifthLake				RandolpheWells
