HarrowandWealdstone	Kenton
Kenton	SouthKenton
SouthKenton	NorthWembley
NorthWembley	WembleyCentral
WembleyCentral	StonebridgePark
StonebridgePark	Harlesden
Harlesden	WillesdenJunction
WillesdenJunction	KensalGreen
KensalGreen	Queen'sPark
Queen'sPark	KilburnPark
KilburnPark	MaidaVale
MaidaVale	WarwickAvenue
WarwickAvenue	Paddington
Paddington	EdgwareRoad
EdgwareRoad	Marylebone
Marylebone	BakerStreet
BakerStreet	Regent'sPark
Regent'sPark	OxfordCircus
OxfordCircus	PiccadillyCircus
PiccadillyCircus	CharingCross
CharingCross	Embankment
Embankment	Waterloo
Waterloo	LambethNorth
LambethNorth	ElephantandCastle
