Bayswater	NottingHillGate
NottingHillGate	HighStreetKensington
HighStreetKensington	GloucesterRoad
GloucesterRoad	SouthKensington
SouthKensington	SloaneSquare
SloaneSquare	Victoria
Victoria	St.James'sPark
St.James'sPark	Westminster
Westminster	Embankment
Embankment	Temple
Temple	Blackfriars
Blackfriars	MansionHouse
MansionHouse	CannonStreet
CannonStreet	Monument
Monument	TowerHill
TowerHill	Aldgate
Aldgate	LiverpoolStreet
LiverpoolStreet	Moorgate
Moorgate	Barbican
Barbican	Farringdon
Farringdon	King'sCrossSt.Pancras
King'sCrossSt.Pancras	EustonSquare
EustonSquare	GreatPortlandStreet
GreatPortlandStreet	BakerStreet
BakerStreet		EdgwareRoad
EdgwareRoad		Paddington
Paddington		Bayswater
