EalingBroadway	EalingCommon
EalingCommon	ActonTown
ActonTown	ChiswickPark
ChiswickPark	TurnhamGreen
Richmond	KewGardens
KewGardens	Gunnersbury
Gunnersbury	TurnhamGreen
TurnhamGreen	StamfordBrook
StamfordBrook	RavenscourtPark
RavenscourtPark	BaronsCourt
BaronsCourt	WestKensington
WestKensington	Earl'sCourt
Wimbledon	WimbledonPark
WimbledonPark	Southfields
Southfields	EastPutney
EastPutney	PutneyBridge
PutneyBridge	ParsonsGreen
ParsonsGreen	FulhamBroadway
FulhamBroadway	WestBrompton
WestBrompton	Earl'sCourt
KensingtonOlympia	Earl'sCourt
HighStreetKensington	Earl'sCourt
Earl'sCourt	GloucesterRoad
GloucesterRoad	SouthKensington
SouthKensington	SloaneSquare
SloaneSquare	Victoria
Victoria	St.James'sPark
St.James'sPark	Westminster
Westminster 	Embankment
Embankment	Temple
Temple	Blackfriars
Blackfriars	MansionHouse
MansionHouse	CannonStreet
CannonStreet	Monument
Monument	TowerHill
TowerHill	AldgateEast
AldgateEast	Whitechapel
Whitechapel	StepneyGreen
StepneyGreen	MileEnd
MileEnd	BowRoad
BowRoad	Bromley-by-Bow
Bromley-by-Bow	WestHam
WestHam	Plaistow
Plaistow	UptonPark
UptonPark	EastHam
EastHam	Barking
Barking	Upney
Upney	Becontree
Becontree	DagenhamHeathway
DagenhamHeathway	DagenhamEast
DagenhamEast	ElmPark
ElmPark	Hornchurch
Hornchurch	UpminsterBridge
UpminsterBridge	Upminster
