Hammersmith	GoldhawkRoad
GoldhawkRoad	Shepherd'sBush
Shepherd'sBush	WoodLane
WoodLane	LatimerRoad
LatimerRoad	LadbrokeGrove
LadbrokeGrove	WestbournePark
WestbournePark	RoyalOak
RoyalOak	Paddington
Paddington	EdgwareRoad
EdgwareRoad	BakerStreet
BakerStreet	GreatPortlandStreet
GreatPortlandStreet	EustonSquare
EustonSquare	King'sCrossSt.Pancras
King'sCrossSt.Pancras	Farringdon
Farringdon	Barbican
Barbican	Moorgate
Moorgate	LiverpoolStreet
LiverpoolStreet	AldgateEast
AldgateEast	Whitechapel
Whitechapel	StepneyGreen
StepneyGreen	MileEnd
MileEnd	BowRoad
BowRoad	Bromley-by-Bow
Bromley-by-Bow	WestHam
WestHam	Plaistow
Plaistow	UptonPark
UptonPark	EastHam
EastHam	Barking
