Stanmore	CanonsPark
CanonsPark	Queensbury
Queensbury	Kingsbury
Kingsbury	WembleyPark
WembleyPark	Neasden
Neasden	DollisHill
DollisHill	WillesdenGreen
WillesdenGreen	Kilburn
Kilburn	WestHampstead
WestHampstead	FinchleyRoad
FinchleyRoad	SwissCottage
SwissCottage	St.John'sWood
St.John'sWood	BakerStreet
BakerStreet	BondStreet
BondStreet	GreenPark
GreenPark	Westminster
Westminster	Waterloo
Waterloo	Southwark
Southwark	LondonBridge
LondonBridge	Bermondsey
Bermondsey	CanadaWater
CanadaWater	CanaryWharf
CanaryWharf	NorthGreenwich
NorthGreenwich	CanningTown
CanningTown	WestHam
WestHam	Stratford
