HerreraOria	BarriodelPilar
BarriodelPilar	Ventilla
Ventilla	PlazadeCastilla
PlazadeCastilla	DuquedePastrana
DuquedePastrana	PíoXII
PíoXII	Colombia
Colombia	ConchaEspina
ConchaEspina	CruzdelRayo
CruzdelRayo	AvenidadeAmérica
AvenidadeAmérica	Núñezdebalboa
Núñezdebalboa	PríncipedeVergara
PríncipedeVergara	Ibiza
Ibiza	SáinzdeBaranda
SáinzdeBaranda	Estrella
Estrella	Vinateros
Vinateros	Artilleros
Artilleros	Pavones
Pavones	Valdebernardo
Valdebernardo	Vicálvaro
Vicálvaro	SanCipriano
SanCipriano	PuertadeArganda
PuertadeArganda	Rivas-Urbanizaciones
Rivas-Urbanizaciones	RivasFutura
RivasFutura	RivasVaciamadrid
RivasVaciamadrid	LaPoveda
LaPoveda	ArgandadelRey
