Universidad	Copilco
Copilco	MiguelAngeldeQuevedo
MiguelAngeldeQuevedo	ViverosDerechosHumanos
ViverosDerechosHumanos	Coyoacan
Coyoacan	Zapata
Zapata	DivisiondelNorte
DivisiondelNorte	Eugenia
Eugenia	EtiopiaPlazadelaTransparencia
EtiopiaPlazadelaTransparencia	CentroMedico
CentroMedico	HospitalGeneral
HospitalGeneral	NinosHeroes
NinosHeroes	Balderas
Balderas	Juarez
Juarez	Hidalgo
Hidalgo	Guerrero
Guerrero	Tlatelolco
Tlatelolco	LaRaza
LaRaza	Potrero
Potrero	Deportivo18deMarzo
Deportivo18deMarzo	IndiosVerdes
